TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Scaled,AccountBalance_Scaled,TransactionFrequency,Cluster_KMeans,Distance,Potential_Fraud,KMeans_Fraud
TX000001,AC00128,14.09,2023-04-11 16:29:14,1,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,-0.9712754695068417,-0.000536635052410607,7,0,25.889862284779273,False,Not Fraud
TX000002,AC00455,376.24,2023-06-27 16:44:19,1,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,0.2694396064236744,2.2164715868484435,7,2,2.476078007116877,False,Not Fraud
TX000003,AC00019,126.29,2023-07-10 18:16:08,1,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,-0.5868816229808057,-1.0235341282270716,4,0,2.58200954761364,False,Not Fraud
TX000004,AC00070,184.5,2023-05-05 16:32:11,1,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,-0.38745590278222686,0.8857974429054191,8,0,30.2149802002633,False,Not Fraud
TX000005,AC00411,13.45,2023-10-16 17:51:24,0,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,-0.9734680903782914,0.5935893646592064,6,1,48.91217835869752,True,Fraud
TX000006,AC00393,92.15,2023-04-03 17:15:01,1,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,-0.7038442425922038,-1.1108816933044958,8,2,31.725631363160115,False,Not Fraud
TX000007,AC00199,7.08,2023-02-15 16:36:48,0,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,-0.9952915199894398,2.103091796208713,1,2,5.764084259245354,False,Not Fraud
TX000008,AC00069,171.42,2023-05-08 17:47:59,0,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,-0.43226759184248137,-0.5943498275623533,7,1,44.11690679014519,False,Not Fraud
TX000009,AC00135,106.23,2023-03-21 16:59:46,0,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,-0.6556065834203091,1.0206840106570008,2,0,31.158872048826527,False,Not Fraud
TX000010,AC00385,815.96,2023-03-31 16:06:57,1,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,1.7759071839141245,-1.049294570483005,7,2,20.483550901443273,False,Not Fraud
TX000011,AC00150,17.78,2023-03-14 16:46:10,0,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,-0.958633639794889,0.6372080213386072,7,0,4.115195254887014,False,Not Fraud
TX000012,AC00459,190.02,2023-02-06 17:30:00,1,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,-0.3685445477659726,-0.9193180502003306,7,2,32.66812314654491,False,Not Fraud
TX000013,AC00392,494.52,2023-06-07 17:21:28,0,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,0.674663351228483,-0.895931865884976,3,2,29.5447761083027,False,Not Fraud
TX000014,AC00264,781.76,2023-11-20 16:39:15,1,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,1.658739006096028,-1.2626675419268705,6,2,17.484507735177704,False,Not Fraud
TX000015,AC00085,166.99,2023-02-13 16:53:57,1,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,-0.4474446394370476,-1.2344020780640845,6,2,6.502848398037147,False,Not Fraud
TX000016,AC00270,465.45,2023-12-12 16:23:31,1,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,0.575070400083101,-0.4227417455289484,2,2,12.097084819356894,False,Not Fraud
TX000017,AC00317,555.8,2023-10-30 16:52:49,0,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,0.8846067996697973,-1.021249610057465,7,2,17.714210419105754,False,Not Fraud
TX000018,AC00359,492.93,2023-12-14 18:32:14,1,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,0.669216058750975,-0.0011109695866326143,6,1,12.919023421104892,False,Not Fraud
TX000019,AC00242,18.68,2023-02-21 16:56:50,0,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,-0.9555502666944129,0.7266529330633243,9,2,34.50493037180514,False,Not Fraud
TX000020,AC00285,71.48,2023-06-08 18:18:50,0,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,-0.7746590447998077,0.3728782439432717,7,2,28.667514214473673,False,Not Fraud
TX000021,AC00002,59.32,2023-02-28 16:36:58,1,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,-0.8163188413573532,0.1632204990176552,7,0,17.18290840917024,False,Not Fraud
TX000022,AC00014,85.77,2023-08-11 18:31:31,1,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,-0.7257019319044686,1.0337731972516602,9,0,37.98696397781515,False,Not Fraud
TX000023,AC00095,52.2,2023-06-06 18:54:15,1,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,-0.8407117485522317,0.9898622453182356,8,2,20.49168812210139,False,Not Fraud
TX000024,AC00453,345.84,2023-05-02 18:25:46,1,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,2024-11-04 08:07:04,0.16529011502981078,-0.9517038515474685,9,2,3.9451273313386537,False,Not Fraud
TX000025,AC00241,145.54,2023-03-02 16:43:56,1,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,2024-11-04 08:07:09,-0.5209316983317309,-0.8162070533532758,9,0,40.96878815243644,False,Not Fraud
TX000026,AC00041,7.49,2023-10-20 17:53:13,0,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,2024-11-04 08:09:44,-0.9938868722436672,-0.37937692420172625,7,1,29.134801661777974,False,Not Fraud
TX000027,AC00441,246.93,2023-04-17 16:37:01,1,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2024-11-04 08:11:38,-0.1735725887125261,-1.138657434417119,6,2,18.09616708161455,False,Not Fraud
TX000028,AC00057,40.32,2023-03-29 16:42:38,1,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2024-11-04 08:11:59,-0.8814122734785179,-0.6224819637654089,5,0,39.88840907088448,False,Not Fraud
TX000029,AC00390,127.45,2023-01-24 16:18:32,1,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:22,-0.5829074976513031,-0.8569489093746535,7,1,49.918597144275346,True,Fraud
TX000030,AC00313,56.17,2023-09-20 16:55:42,1,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,-0.82711064720902,-0.9647315022991751,3,1,36.25199039655591,False,Not Fraud
TX000031,AC00367,28.31,2023-07-17 17:49:22,0,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,2024-11-04 08:09:17,-0.9225581745193173,0.8256487204129397,7,0,35.17414328388335,False,Not Fraud
TX000032,AC00291,59.12,2023-02-06 16:24:24,1,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,2024-11-04 08:06:58,-0.8170040353796812,1.2074709339519887,7,1,10.248062819453024,False,Not Fraud
TX000033,AC00060,396.45,2023-09-25 16:26:00,1,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2024-11-04 08:11:13,0.33867846237992383,1.1732441853031925,4,2,27.80687814924441,False,Not Fraud
TX000034,AC00359,877.81,2023-03-13 17:23:24,1,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2024-11-04 08:07:50,1.9878034353190734,-1.2090005948920401,6,2,9.91345259369538,False,Not Fraud
TX000035,AC00365,255.26,2023-10-27 16:42:49,0,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2024-11-04 08:10:51,-0.1450342576825629,2.487475439210654,5,0,5.835325640256596,False,Not Fraud
TX000036,AC00267,124.76,2023-10-16 16:32:56,1,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2024-11-04 08:06:23,-0.5921233572516154,0.16676650196778517,10,0,10.867593566207224,False,Not Fraud
TX000037,AC00404,78.13,2023-11-21 16:58:44,1,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,2024-11-04 08:12:18,-0.7518763435574001,-1.0803881191281433,4,2,5.2681948384665205,False,Not Fraud
TX000038,AC00202,649.28,2023-03-02 17:53:32,1,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,2024-11-04 08:11:15,1.204866485705928,-0.0611366203932074,12,2,6.896810636963089,False,Not Fraud
TX000039,AC00478,795.31,2023-10-12 17:07:40,1,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,2024-11-04 08:11:17,1.7051609011087532,0.7180661189780133,7,0,34.93066952808771,False,Not Fraud
TX000040,AC00405,335.63,2023-01-24 17:17:20,1,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,2024-11-04 08:07:32,0.1303109601899639,-1.0499330048536357,6,1,30.917656170910377,False,Not Fraud
TX000041,AC00421,328.47,2023-07-31 18:39:50,1,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,2024-11-04 08:07:31,0.10578101419061983,-0.2027203390527713,3,2,21.58536402941687,False,Not Fraud
TX000042,AC00480,34.02,2023-01-09 16:13:21,1,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,2024-11-04 08:11:45,-0.9029958851818515,2.3332794367393115,11,0,36.5533128924654,False,Not Fraud
TX000043,AC00120,241.42,2023-04-20 18:57:43,0,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,2024-11-04 08:09:03,-0.19244968402766394,2.113427253831254,6,2,24.45210223562432,False,Not Fraud
TX000044,AC00117,55.32,2023-04-12 16:03:37,1,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,2024-11-04 08:08:03,-0.8300227218039142,-1.2493091360192947,1,2,23.95929047670268,False,Not Fraud
TX000045,AC00011,304.31,2023-07-26 16:52:28,1,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,0.023009576293391343,-1.0885928981884585,7,0,22.18462344634604,False,Not Fraud
TX000046,AC00401,435.27,2023-10-04 17:49:29,1,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,2024-11-04 08:11:12,0.47167462211379824,-0.11307799983191522,6,0,34.862190340809484,False,Not Fraud
TX000047,AC00282,164.49,2023-12-13 16:01:38,1,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,2024-11-04 08:10:33,-0.4560095647161482,-0.9243280934140357,6,0,19.884236359689794,False,Not Fraud
TX000048,AC00439,510.24,2023-10-09 16:29:40,1,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,2024-11-04 08:11:35,0.7285196013834677,-1.1108765653175832,9,2,35.50488331019801,False,Not Fraud
TX000049,AC00296,626.9,2023-11-27 16:45:57,1,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,2024-11-04 08:07:24,1.128193274607419,-1.243227343540836,4,2,3.574002468502161,False,Not Fraud
